Parker 5-XXX Size,CS (MM),ID (MM),CS (IN),ID (IN)
5-840,3.53,117.60,0.139,4.630
5-842,3.10,118.47,0.122,4.664
5-844,3.56,118.92,0.140,4.682
5-848,1.52,123.83,0.060,4.875
5-850,6.60,125.10,0.260,4.925
5-851,3.73,126.59,0.147,4.984
5-852,5.33,127.76,0.210,5.030
5-853,5.92,128.45,0.233,5.057
5-855,3.15,138.28,0.124,5.444
5-856,1.78,138.81,0.070,5.465
5-858,4.27,139.70,0.168,5.500
5-862,6.40,147.04,0.252,5.789
5-863,3.56,147.70,0.140,5.815
5-869,3.53,167.87,0.139,6.609
5-873,1.78,183.64,0.070,7.230
5-875,5.33,192.53,0.210,7.580
5-876,5.33,194.92,0.210,7.674
5-877,2.64,198.17,0.104,7.802
5-880,6.99,212.09,0.275,8.350
5-882,5.33,232.71,0.210,9.162
5-883,2.62,249.43,0.103,9.820
5-884,1.78,253.59,0.070,9.984
5-885,3.53,258.34,0.139,10.171
5-886,2.84,258.52,0.112,10.178
5-887,6.99,262.71,0.275,10.343
5-889,2.64,263.45,0.104,10.372
5-890,2.62,269.39,0.103,10.606
5-891,3.53,272.64,0.139,10.734
5-894,2.62,279.30,0.103,10.996
5-898,2.62,287.91,0.103,11.335
5-900,4.75,304.80,0.187,12.000
5-901,3.53,310.74,0.139,12.234
5-902,5.33,313.94,0.210,12.360
5-905,3.56,320.62,0.140,12.623
5-906,1.78,322.71,0.070,12.705
5-907,6.99,323.22,0.275,12.725
5-908,3.53,326.14,0.139,12.840
5-910,5.33,339.73,0.210,13.375
5-912,3.53,348.84,0.139,13.734
5-920,4.45,375.41,0.175,14.780
5-921,1.80,375.79,0.071,14.795
5-924,5.33,391.41,0.210,15.410
5-925,4.78,392.81,0.188,15.465
5-930,6.35,413.64,0.250,16.285
5-935,6.99,434.34,0.275,17.100
5-937,3.53,441.71,0.139,17.390
5-939,5.33,453.90,0.210,17.870
5-943,6.99,479.30,0.275,18.870
5-944,3.53,479.55,0.139,18.880
5-947,3.53,492.25,0.139,19.380
5-948,5.33,501.02,0.210,19.725
5-950,3.53,506.98,0.139,19.960
5-953,3.35,567.94,0.132,22.360
5-955,6.99,731.55,0.275,28.801
5-964,2.77,18.90,0.109,0.744
5-975,6.60,188.60,0.260,7.425
5-976,6.60,264.80,0.260,10.425
5-979,6.99,87.45,0.275,3.443
5-980,6.99,37.47,0.275,1.475
5-981,6.99,46.99,0.275,1.850
5-982,6.99,69.22,0.275,2.725
5-984,6.99,81.92,0.275,3.225
5-985,6.99,91.44,0.275,3.600
5-986,6.99,94.62,0.275,3.725
5-987,6.99,100.97,0.275,3.975
5-988,6.99,104.14,0.275,4.100
5-989,6.99,107.32,0.275,4.225
5-1002,4.42,6.07,0.174,0.239
5-1004,1.14,7.37,0.045,0.290
5-1006,1.78,8.18,0.070,0.322
5-1007,1.27,8.38,0.050,0.330
5-1010,3.53,523.47,0.139,20.609
5-1011,2.62,11.35,0.103,0.447
5-1014,1.80,13.34,0.071,0.525
5-1018,3.53,42.44,0.139,1.671
5-1023,1.78,45.42,0.070,1.788
5-1028,6.35,30.23,0.250,1.190
5-1041,2.62,152.98,0.103,6.023
5-1042,6.53,46.15,0.257,1.817
5-1043,3.00,47.80,0.118,1.882
5-1044,3.53,52.32,0.139,2.060
5-1046,8.00,54.36,0.315,2.140
5-1047,2.36,57.94,0.093,2.281
5-1052,2.82,78.23,0.111,3.080
5-1053,1.78,85.19,0.070,3.354
5-1054,5.31,103.63,0.209,4.080
5-1060,3.81,117.07,0.150,4.609
5-1097,2.62,349.25,0.103,13.750
5-1100,3.53,444.50,0.139,17.500
5-1102,5.33,463.93,0.210,18.265
5-1104,4.78,469.90,0.188,18.500
5-1105,3.53,473.33,0.139,18.635
